game_id,turns,victory_status,winner,increment_code,white_rating,black_rating,opening_eco,opening_name,opening_move_count
194,53,outoftime,white,Rapid,1331,1281,D00,Queen's Pawn Game #3,4
195,39,mate,white,Rapid,1304,1292,A00,Van't Kruijs Opening,1
196,10,mate,black,Rapid,1305,1293,C00,French Defense: Normal Variation,3
199,106,mate,black,Classical,968,1305,C50,Four Knights Game: Italian Variation,8
200,38,mate,black,Rapid,1293,1466,C41,Philidor Defense #3,5
205,15,mate,white,Blitz,1806,1289,C45,Scotch Game,7
206,42,resign,white,Blitz,1289,1311,C41,Philidor Defense #3,5
207,118,resign,black,Blitz,1431,1289,A40,Englund Gambit Declined |  Reversed French,3
208,34,resign,black,Blitz,1289,1484,C50,Giuoco Piano,6
210,66,resign,black,Blitz,1806,1289,C44,Scotch Game,5
211,21,outoftime,white,Blitz,1289,1500,C41,Philidor Defense #3,5
213,159,mate,white,Rapid,1280,1485,C55,Italian Game: Anti-Fried Liver Defense,6
214,74,resign,white,Rapid,1280,1211,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
215,28,mate,black,Rapid,1211,1280,A00,Crab Opening,3
216,112,mate,black,Rapid,1281,1765,C41,Philidor Defense #4,6
217,104,resign,black,Rapid,1288,1454,C42,Petrov's Defense,4
220,150,draw,draw,Rapid,1259,1663,C55,Italian Game: Anti-Fried Liver Defense,6
221,60,mate,black,Rapid,1614,1238,D02,Queen's Pawn Game: London System,5
222,37,mate,white,Rapid,1221,1417,C02,French Defense: Advance Variation |  Milner-Barry Gambit,11
225,55,mate,white,Rapid,1240,1219,C42,Russian Game: Damiano Variation |  Kholmov Gambit,8
227,137,draw,draw,Rapid,1568,1617,C50,Italian Game,5
228,97,outoftime,white,Rapid,1500,1358,C46,Four Knights Game,6
229,33,resign,black,Rapid,1384,1325,B07,Pirc Defense #4,2
231,55,resign,black,Bullet,1384,1950,A04,Zukertort Opening: Sicilian Invitation,2
232,91,resign,white,Rapid,1377,1249,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
233,53,resign,white,Rapid,1375,1389,C20,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4
234,49,mate,white,Rapid,1378,1361,C41,Philidor Defense,5
235,48,mate,black,Rapid,1261,1371,B07,King's Pawn Game: Maroczy Defense,4
236,20,resign,black,Rapid,1380,1429,B30,Sicilian Defense: Old Sicilian,4
237,87,mate,white,Rapid,1369,1368,C42,Russian Game: Damiano Variation,6
239,110,draw,draw,Rapid,1372,1326,B00,St. George Defense,2
240,24,resign,white,Blitz,1361,1383,A00,Van't Kruijs Opening,1
243,34,resign,black,Rapid,1474,1387,B01,Scandinavian Defense,2
244,103,mate,white,Rapid,1377,1351,C41,Philidor Defense #2,4
245,29,resign,black,Classical,1389,1339,C40,King's Pawn Game: McConnell Defense,4
246,22,resign,black,Classical,1389,1400,C41,Philidor Defense #2,4
247,38,resign,white,Rapid,1849,1389,C44,Scotch Game,5
248,46,mate,black,Blitz,1395,1378,C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9
250,31,resign,white,Rapid,1360,1332,B00,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5
253,31,mate,white,Classical,1354,1217,C50,Italian Game,5
254,38,resign,black,Rapid,1245,1346,D20,Queen's Gambit Accepted: Old Variation,5
255,43,resign,white,Rapid,1346,1099,C55,Italian Game: Anti-Fried Liver Defense,6
259,38,resign,black,Blitz,1649,1547,C02,French Defense: Advance Variation #4,6
260,110,resign,black,Blitz,1426,1527,C00,French Defense: Knight Variation,3
266,114,mate,black,Rapid,1713,1558,A00,Hungarian Opening: Indian Defense,2
267,57,resign,white,Rapid,1497,1730,B00,Owen Defense,2
268,57,resign,white,Blitz,1437,1552,C50,Italian Game,5
271,70,resign,black,Rapid,1355,1478,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
272,97,mate,white,Rapid,1638,1614,C55,Italian Game: Anti-Fried Liver Defense,6
275,48,mate,black,Blitz,1776,1587,D00,Queen's Pawn Game,2
277,80,resign,black,Rapid,1605,1546,B01,Scandinavian Defense: Icelandic-Palme Gambit,6
278,35,resign,white,Blitz,1518,1709,B00,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5
280,87,mate,white,Rapid,1515,1379,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
284,21,mate,white,Rapid,1470,1475,C40,King's Pawn Game: Damiano Defense,4
285,14,mate,black,Rapid,1490,1440,C50,Italian Game: Schilling-Kostic Gambit,6
289,48,resign,black,Rapid,1942,1611,A00,Van't Kruijs Opening,1
290,6,outoftime,black,Rapid,1217,1611,C46,Four Knights Game,6
293,40,mate,black,Rapid,1486,1552,C44,King's Pawn Game: Dresden Opening,5
295,44,resign,white,Rapid,1340,1326,A40,English Defense #2,2
296,59,mate,white,Rapid,1532,1500,C00,French Defense: Steinitz Attack,3
300,83,resign,white,Rapid,1531,1593,C46,Four Knights Game: Gunsberg Variation,7
304,96,resign,black,Rapid,1550,1605,D00,Queen's Pawn Game: Mason Attack,3
305,116,mate,black,Rapid,1630,1605,C42,Petrov's Defense #5,8
306,78,mate,black,Rapid,1475,1605,A00,Hungarian Opening,1
308,70,mate,black,Rapid,1475,1605,C20,King's Pawn Opening: 2.b3,3
309,27,resign,white,Rapid,1570,1605,C42,Russian Game: Cochrane Gambit,7
313,74,resign,black,Rapid,1513,1605,C42,Russian Game: Urusov Gambit,5
314,65,resign,white,Classical,1790,1874,A00,Polish Opening,1
316,45,resign,black,Classical,1496,1861,A45,Indian Game: Tartakower Attack,3
319,48,draw,draw,Rapid,1618,1609,C00,French Defense: Knight Variation,3
320,20,resign,black,Rapid,1620,1607,A00,Van't Kruijs Opening,1
321,50,mate,black,Rapid,1621,1496,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
322,98,resign,black,Rapid,1633,1581,C41,Philidor Defense #3,5
324,19,resign,white,Rapid,1612,1614,C50,Italian Game,5
325,22,resign,white,Rapid,1605,1624,C50,Italian Game: Giuoco Pianissimo |  Normal,8
327,69,resign,black,Rapid,1631,1684,B50,Sicilian Defense,4
330,108,resign,black,Rapid,1627,1495,C50,Italian Game: Hungarian Defense,6
332,63,resign,white,Rapid,1631,1652,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
333,31,resign,white,Rapid,1687,1641,C44,Ponziani Opening,5
334,71,resign,white,Rapid,1630,1638,C55,Italian Game: Anti-Fried Liver Defense,6
337,56,resign,black,Rapid,1629,1659,C42,Petrov's Defense #2,5
339,124,resign,black,Rapid,1677,1627,A00,Polish Opening,1
340,49,mate,white,Rapid,1705,1636,C45,Scotch Game: Classical Variation,8
343,45,resign,white,Rapid,1626,1631,C50,Italian Game,5
346,40,mate,black,Rapid,1611,1591,C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9
350,71,draw,draw,Rapid,1570,1555,C55,Italian Game: Anti-Fried Liver Defense,6
351,97,mate,white,Rapid,1559,1557,C00,French Defense: Knight Variation,3
352,60,resign,white,Rapid,1546,1571,A45,Indian Game,2
353,57,resign,white,Rapid,1550,1567,B21,Sicilian Defense: Smith-Morra Gambit Declined |  Push Variation,6
355,111,resign,white,Blitz,1840,1564,C45,Scotch Game: Haxo Gambit,8
357,33,mate,white,Rapid,1534,1678,C41,Philidor Defense,5
360,92,draw,draw,Blitz,1926,1737,A04,Zukertort Opening: Queenside Fianchetto Variation,2
361,64,resign,black,Blitz,1629,1887,D00,Queen's Pawn Game #2,3
365,58,resign,black,Rapid,966,1124,B01,Scandinavian Defense,2
368,118,mate,black,Rapid,971,1149,B00,King's Pawn Game: Nimzowitsch Defense,3
369,11,mate,white,Rapid,1238,985,A00,Van't Kruijs Opening,1
371,95,mate,white,Rapid,1107,961,B00,Nimzowitsch Defense: Mikenas Variation,4
372,37,resign,black,Rapid,974,1129,D00,Queen's Pawn Game: Chigorin Variation,3
374,80,outoftime,black,Rapid,998,937,C00,French Defense: Pelikan Variation,5
375,78,resign,black,Rapid,1016,1126,A00,Van't Kruijs Opening,1
377,42,mate,black,Rapid,1047,1151,D02,Queen's Pawn Game: Chigorin Variation,4
378,8,outoftime,black,Rapid,998,1016,C44,Ponziani Opening: Romanishin Variation,6
379,101,outoftime,white,Rapid,1127,1044,C20,King's Pawn Game: Wayward Queen Attack,3
380,65,outoftime,white,Rapid,1020,1200,D02,Queen's Pawn Game: Zukertort Variation,3
381,60,mate,black,Rapid,1069,1071,D02,Queen's Pawn Game: Symmetrical Variation,4
382,71,draw,draw,Rapid,1071,1068,D00,Queen's Pawn Game: Mason Attack,3
385,41,resign,white,Rapid,1337,1337,C40,King's Knight Opening,3
386,40,resign,black,Rapid,1500,1500,B01,Scandinavian Defense,2
387,27,resign,white,Classical,1500,1571,C41,Philidor Defense: Exchange Variation #2,7
388,59,resign,black,Rapid,1367,1866,A00,Van't Kruijs Opening,1
389,19,mate,white,Rapid,1590,1373,B00,Owen Defense,2
390,50,mate,black,Rapid,1377,1667,A00,Hungarian Opening,1
392,15,mate,white,Blitz,1476,1367,B00,Owen Defense,2
393,52,resign,black,Blitz,1376,1469,A00,Van't Kruijs Opening,1
394,65,mate,white,Blitz,1460,1386,B00,Owen Defense,2
395,67,resign,white,Rapid,1372,1408,C41,Philidor Defense #3,5
397,130,mate,black,Blitz,1500,1395,C00,French Defense #2,2
399,76,resign,black,Rapid,1320,1400,C00,French Defense: Knight Variation,3
401,53,resign,white,Classical,1383,1242,D02,Queen's Pawn Game: Zukertort Variation,3
402,116,outoftime,black,Rapid,1469,1357,C02,French Defense: Advance Variation |  Paulsen Attack,9
403,47,resign,white,Classical,959,1357,A00,Creepy Crawly Formation: Classical Defense,4
404,53,resign,white,Classical,1357,959,D00,Queen's Pawn Game: Mason Attack,3
405,76,mate,black,Classical,959,1357,A00,Creepy Crawly Formation: Classical Defense,4
406,110,draw,draw,Rapid,1588,1691,C50,Italian Game: Giuoco Pianissimo |  Normal,8
408,17,resign,white,Classical,1517,1320,C40,Elephant Gambit,4
413,34,resign,white,Rapid,1327,1450,B00,Caro-Kann Defense: Hillbilly Attack,3
415,30,resign,black,Rapid,1921,1451,C40,Latvian Gambit,4
416,51,resign,white,Rapid,1462,1464,A00,Global Opening,3
419,14,resign,black,Blitz,1728,1500,C55,Italian Game: Two Knights Defense,6
422,38,resign,white,Rapid,1559,1423,A40,Horwitz Defense,2
425,43,resign,white,Blitz,1576,1386,D00,Queen's Pawn Game: Mason Attack,3
427,49,resign,white,Rapid,1591,1326,D00,Queen's Pawn Game: Mason Attack,3
429,70,outoftime,black,Blitz,1727,1574,B01,Scandinavian Defense: Modern Variation #2,4
432,57,resign,white,Rapid,1536,1962,A45,Trompowsky Attack,3
433,148,outoftime,draw,Rapid,1529,1763,D00,Queen's Pawn Game: Mason Attack,3
434,62,mate,black,Rapid,1590,1515,B01,Scandinavian Defense: Modern Variation #2,4
436,52,mate,black,Rapid,1675,1505,B01,Scandinavian Defense: Panov Transfer,6
437,26,mate,black,Rapid,1547,1491,B01,Scandinavian Defense: Panov Transfer,6
438,59,resign,black,Rapid,1507,1399,A40,Englund Gambit,2
441,56,resign,black,Rapid,1482,1484,B01,Scandinavian Defense: Modern Variation #2,4
442,40,resign,black,Rapid,1486,1909,A40,Modern Defense,2
444,60,resign,black,Rapid,1488,2192,A45,Indian Game,2
445,45,resign,white,Rapid,1470,1684,D00,Queen's Pawn Game: Mason Attack,3
447,17,resign,white,Rapid,1586,1473,D02,Queen's Pawn Game: London System,5
449,36,mate,black,Rapid,1500,1501,A45,Indian Game,2
451,46,draw,draw,Blitz,1356,1491,B01,Scandinavian Defense,2
452,34,resign,black,Rapid,1495,1771,A45,Indian Game,2
453,38,resign,white,Blitz,1529,1639,C00,French Defense: Knight Variation,3
454,107,resign,white,Blitz,1631,1537,C41,Philidor Defense: Hanham Variation,6
456,35,resign,white,Blitz,1568,1636,C00,French Defense: Pelikan Variation,5
457,122,mate,black,Blitz,1354,1631,C00,French Defense: Schlechter Variation,5
465,116,draw,draw,Blitz,1596,1686,A40,Modern Defense,2
467,54,mate,black,Blitz,1668,1761,A40,Horwitz Defense,2
470,41,resign,white,Blitz,1582,1704,C00,French Defense: Knight Variation,3
472,30,resign,black,Blitz,1676,1680,C00,French Defense: Knight Variation,3
473,64,resign,black,Rapid,1142,1679,D00,Queen's Pawn Game #2,3
475,40,resign,black,Rapid,1154,1676,A00,Mieses Opening,1
476,128,draw,draw,Rapid,1686,1098,B00,Carr Defense,2
477,48,resign,black,Rapid,1102,1685,A00,Polish Opening,1
479,71,resign,black,Blitz,1493,1678,C00,French Defense #2,2
480,60,resign,white,Blitz,1525,1693,D02,Queen's Pawn Game: Zukertort Variation,3
481,58,mate,black,Blitz,1709,1681,A40,Horwitz Defense,2
500,32,resign,black,Rapid,1314,1270,D20,Queen's Gambit Accepted: Old Variation,5
506,41,mate,white,Rapid,1290,1367,D20,Queen's Gambit Accepted: Old Variation,5
510,6,resign,white,Classical,1814,1299,C50,Italian Game,5
511,67,resign,white,Rapid,1348,1308,C20,King's Pawn Game: Wayward Queen Attack,3
512,56,resign,black,Rapid,1318,1366,D20,Queen's Gambit Accepted: Old Variation,5
513,103,resign,white,Rapid,1324,1329,C44,Ponziani Opening: Jaenisch Counterattack,6
514,40,mate,black,Rapid,1345,1187,D20,Queen's Gambit Accepted: Old Variation,5
517,23,resign,white,Rapid,1403,1340,A40,Englund Gambit Declined |  Reversed French,3
518,39,mate,white,Rapid,1322,1072,D20,Queen's Gambit Accepted: Old Variation,5
521,33,resign,white,Rapid,1350,1265,C44,Scotch Game,5
522,58,resign,black,Rapid,1270,1299,D00,Queen's Pawn Game: Chigorin Variation,3
523,31,mate,white,Rapid,1223,1282,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
524,15,resign,white,Rapid,1289,1306,C50,Four Knights Game: Italian Variation,8
525,32,resign,black,Rapid,1007,1268,C50,Italian Game: Hungarian Defense,6
528,15,resign,white,Rapid,1172,1170,C42,Russian Game: Three Knights Game,5
532,22,resign,black,Rapid,1273,1160,D00,Queen's Pawn Game,2
533,27,resign,white,Rapid,1154,974,C41,Philidor Defense,5
537,74,mate,black,Rapid,1250,1156,A00,Hungarian Opening,1
539,26,resign,black,Rapid,1173,1251,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
540,40,mate,black,Rapid,1089,1165,C50,Giuoco Piano,6
541,77,resign,white,Rapid,1278,1173,C20,King's Pawn Game: Macleod Attack,3
545,50,mate,black,Rapid,1030,1162,D02,Queen's Pawn Game: Zukertort Variation,3
546,52,resign,black,Rapid,1176,1118,C42,Petrov's Defense,4
547,11,mate,white,Rapid,1353,1181,C20,Bishop's Opening: Boi Variation,4
548,61,resign,white,Rapid,1184,1184,C44,Scotch Game,5
549,19,resign,white,Rapid,1171,1252,C42,Russian Game: Three Knights Game,5
550,51,resign,white,Rapid,1157,1234,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
552,86,draw,draw,Rapid,1156,886,C50,Italian Game,5
553,27,mate,white,Rapid,1142,1226,C00,French Defense: Normal Variation,3
554,86,mate,black,Rapid,1042,1133,C20,King's Pawn Game: Leonardis Variation,3
555,61,mate,white,Rapid,1123,1084,C40,Elephant Gambit: Paulsen Countergambit,6
556,53,mate,white,Rapid,1247,1122,C20,King's Pawn Game: Leonardis Variation,3
557,50,mate,black,Rapid,1070,1112,A00,Van't Kruijs Opening,1
559,110,outoftime,black,Rapid,1114,1027,C00,French Defense: Two Knights Variation,5
560,45,mate,white,Rapid,914,1133,C46,Three Knights Opening,5
561,93,mate,white,Rapid,1125,996,C42,Russian Game: Three Knights Game,5
563,60,resign,black,Rapid,1133,1234,C50,Giuoco Piano,6
566,56,mate,black,Rapid,1126,1054,C41,Philidor Defense,5
567,64,resign,black,Rapid,1147,908,B00,Goldsmith Defense: Picklepuss Defense,4
575,115,mate,white,Rapid,2100,1960,A45,Indian Game,2
576,48,draw,draw,Rapid,1945,1961,B01,Scandinavian Defense: Marshall Variation,6
577,56,draw,draw,Rapid,1982,1960,B01,Scandinavian Defense,2
583,88,resign,black,Rapid,1964,2287,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
584,148,draw,draw,Rapid,1914,1965,B01,Scandinavian Defense: Modern Variation #2,4
587,34,mate,black,Rapid,1599,1929,B01,Scandinavian Defense: Icelandic-Palme Gambit,6
588,94,resign,black,Rapid,1882,1919,B01,Scandinavian Defense: Icelandic-Palme Gambit,6
589,122,mate,black,Rapid,1699,1914,B01,Scandinavian Defense: Modern Variation,5
592,116,resign,black,Rapid,1758,1929,B01,Scandinavian Defense: Modern Variation #2,4
593,31,resign,white,Rapid,1265,1957,B00,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,5
597,62,resign,black,Blitz,1627,2050,C00,French Defense: Normal Variation,3
598,42,mate,black,Blitz,2050,1627,A04,Zukertort Opening: Slav Invitation,2
601,31,resign,white,Blitz,2050,1852,B01,Scandinavian Defense: Marshall Variation,6
605,35,mate,white,Rapid,1164,1435,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
606,71,outoftime,white,Rapid,1435,1164,C50,Italian Game: Giuoco Pianissimo,7
610,70,outoftime,black,Rapid,1287,1099,B20,Sicilian Defense,2
612,75,resign,white,Rapid,1211,1230,B20,Sicilian Defense,2
613,61,mate,white,Rapid,1344,1500,B50,Sicilian Defense,4
614,41,resign,white,Rapid,1834,1500,C41,Philidor Defense: Exchange Variation,8
616,53,mate,white,Rapid,1635,1500,D00,Blackmar-Diemer Gambit: Teichmann Variation,10
617,52,mate,black,Rapid,1456,1604,D20,Queen's Gambit Accepted,4
618,36,resign,black,Rapid,1378,1318,C00,French Defense: Knight Variation,3
621,71,resign,white,Rapid,1613,1729,C02,French Defense: Advance Variation |  Paulsen Attack,9
624,76,mate,black,Rapid,1760,1718,C02,French Defense: Advance Variation #2,7
625,61,resign,white,Rapid,1708,1729,C02,French Defense: Advance Variation,8
628,64,mate,black,Rapid,1170,1662,B01,Scandinavian Defense,2
629,51,resign,white,Blitz,1261,1237,A00,Mieses Opening,1
630,71,mate,white,Rapid,1100,1306,A04,Zukertort Opening: Quiet System,3
631,49,mate,white,Rapid,1590,1100,C41,Philidor Defense: Nimzowitsch Variation,7
633,88,outoftime,black,Blitz,1302,875,C20,King's Pawn Game: Leonardis Variation,3
634,11,draw,draw,Blitz,1234,1335,D02,Queen's Pawn Game: Symmetrical Variation,4
635,11,mate,white,Blitz,1522,1500,C42,Russian Game: Damiano Variation,6
636,86,resign,black,Rapid,2306,2405,C46,Four Knights Game: Halloween Gambit,7
639,62,resign,black,Rapid,2325,2338,D02,Queen's Pawn Game: Symmetrical Variation |  Pseudo-Catalan,5
640,39,resign,white,Rapid,2336,1830,C45,Scotch Game: Potter Variation,9
644,41,resign,white,Rapid,2323,1881,C42,Russian Game: Classical Attack |  Staunton Variation,16
647,38,resign,black,Rapid,1983,2313,A40,Horwitz Defense,2
