,turns,victory_status,winner,increment_code,white_rating,black_rating,opening_eco,opening_name,opening_move_count
95,85,mate,white,Rapid,1513,1784,A40,Horwitz Defense,2
96,38,resign,white,Rapid,1501,1445,D02,Queen's Pawn Game: London System,5
97,14,resign,white,Classical,1500,1500,C50,Italian Game: Giuoco Pianissimo |  Normal,8
98,113,draw,draw,Rapid,1745,1714,D06,Queen's Gambit Refused: Marshall Defense,4
99,62,resign,white,Rapid,1734,1748,D06,Queen's Gambit Refused: Marshall Defense,4
100,101,resign,white,Rapid,1942,1739,C10,French Defense: Marshall Variation,6
101,75,outoftime,white,Rapid,1724,1855,C45,Scotch Game,7
102,135,mate,white,Rapid,1951,1729,C02,French Defense: Advance Variation |  Main Line,11
103,81,outoftime,white,Rapid,1726,1388,C41,Philidor Defense,5
104,46,resign,black,Rapid,1735,1806,D80,Gruenfeld Defense,6
105,70,mate,black,Rapid,1597,1728,C00,French Defense: Knight Variation,3
106,39,resign,white,Rapid,1743,1738,C10,French Defense: Rubinstein Variation |  Fort Knox Variation,10
107,91,resign,white,Rapid,1721,1750,D30,Queen's Gambit Declined: Traditional Variation,7
108,137,outoftime,white,Rapid,1746,1487,D20,Queen's Gambit Accepted: Old Variation,5
109,46,resign,black,Rapid,1744,1735,C02,French Defense: Advance Variation |  Paulsen Attack,9
110,18,resign,black,Rapid,1749,1631,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9
111,28,resign,black,Rapid,1769,1396,D20,Queen's Gambit Accepted: Old Variation,5
112,40,resign,black,Blitz,1795,1760,A46,Yusupov-Rubinstein System,5
113,111,mate,white,Rapid,1729,1795,D31,Queen's Gambit Declined: Queen's Knight Variation,5
114,54,mate,black,Rapid,1795,1784,C64,Ruy Lopez: Classical Variation,6
115,33,resign,white,Rapid,1770,1872,D02,Queen's Pawn Game: Zukertort Variation,3
116,90,resign,black,Rapid,1783,1721,D02,Queen's Pawn Game: London System,5
117,90,resign,black,Rapid,1884,1768,C64,Ruy Lopez: Classical Variation |  Central Variation,7
118,40,mate,black,Rapid,1756,1756,C24,Bishop's Opening: Ponziani Gambit,5
119,49,outoftime,white,Blitz,1724,1958,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,5
120,50,resign,black,Rapid,2036,1706,A08,King's Indian Attack: French Variation,6
121,59,mate,white,Rapid,1706,925,D02,Queen's Pawn Game: London System,5
122,26,outoftime,black,Rapid,1244,1219,B00,Nimzowitsch Defense: Mikenas Variation,4
123,23,mate,white,Rapid,1215,921,C50,Italian Game,5
124,118,mate,black,Rapid,1350,1201,B03,Alekhine Defense #2,5
125,66,mate,black,Rapid,1210,1280,B29,Sicilian Defense: Nimzowitsch Variation,4
126,120,draw,draw,Rapid,1139,1212,C50,Four Knights Game: Italian Variation,8
127,36,mate,black,Rapid,1220,1341,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
128,26,mate,black,Rapid,1234,1359,C55,Italian Game: Anti-Fried Liver Defense,6
129,62,resign,black,Rapid,1275,1236,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
130,37,resign,white,Rapid,1433,1282,B02,Alekhine Defense: Maroczy Variation,3
131,24,resign,black,Rapid,1132,1276,D06,Queen's Gambit Refused: Marshall Defense,4
132,47,resign,white,Classical,1276,1308,C55,Italian Game: Anti-Fried Liver Defense,6
133,37,resign,black,Rapid,1228,1266,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,7
134,24,resign,black,Rapid,1273,1409,B13,Caro-Kann Defense: Exchange Variation,5
135,9,resign,white,Rapid,1338,1277,D00,Queen's Pawn Game #2,3
136,47,mate,white,Rapid,1263,1336,B57,Sicilian Defense: Modern Variations |  Main Line,8
137,85,mate,white,Rapid,1316,1273,A20,English Opening: King's English Variation,2
138,39,mate,white,Rapid,1248,1253,B00,Goldsmith Defense,2
139,58,mate,black,Rapid,1335,1233,E20,Nimzo-Indian Defense,6
140,95,mate,white,Rapid,1223,1189,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
141,2,resign,black,Rapid,1443,1204,B02,Alekhine Defense,2
142,97,mate,white,Rapid,1227,1216,D06,Queen's Gambit Refused: Marshall Defense,4
143,12,draw,draw,Rapid,1215,1219,C50,Italian Game,5
144,30,resign,white,Rapid,1227,1227,C50,Four Knights Game: Italian Variation,8
145,43,mate,white,Rapid,1550,1225,E11,Bogo-Indian Defense: Exchange Variation,8
146,11,resign,white,Rapid,1325,1234,B02,Alekhine Defense,2
147,72,mate,black,Rapid,1212,1221,B02,Alekhine Defense: Saemisch Attack,5
148,156,mate,black,Rapid,1226,1478,C40,King's Knight Opening,3
149,18,resign,black,Classical,1228,1626,D30,Queen's Gambit Declined,4
150,77,mate,white,Rapid,1191,1228,C11,French Defense: Classical Variation |  Steinitz Variation,7
151,32,resign,black,Classical,1422,1210,B02,Alekhine Defense: Two Pawn Attack,5
152,35,resign,white,Rapid,1186,1223,C28,Vienna Game: Vienna Gambit,5
153,85,mate,white,Rapid,1212,1212,B06,Modern Defense,2
154,50,resign,black,Rapid,1228,1343,B01,Scandinavian Defense: Panov Transfer,6
155,111,resign,white,Rapid,1865,1862,A46,Yusupov-Rubinstein System,5
156,65,outoftime,white,Blitz,1852,1852,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
157,73,resign,white,Rapid,1833,1863,A56,Benoni Defense,4
158,125,resign,white,Rapid,1851,1918,B27,Sicilian Defense: Hyperaccelerated Dragon,4
159,76,resign,black,Rapid,1861,1844,C55,Italian Game: Anti-Fried Liver Defense,6
160,65,outoftime,white,Rapid,1853,1774,C65,Ruy Lopez: Berlin Defense #2,6
161,41,mate,white,Rapid,1910,1862,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,11
162,59,resign,white,Rapid,1851,1890,C00,French Defense: Knight Variation,3
163,70,resign,black,Rapid,1860,1840,B50,Sicilian Defense: Delayed Alapin,5
164,34,resign,white,Classical,1828,1848,B51,Sicilian Defense: Canal-Sokolsky Attack,5
165,69,outoftime,white,Blitz,1855,1858,E00,Amar Opening,1
166,63,resign,white,Rapid,1847,1895,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
167,107,resign,white,Rapid,1885,1856,B50,Sicilian Defense,4
168,58,resign,white,Classical,1847,1802,A40,Queen's Pawn,1
169,34,resign,black,Rapid,1847,1856,B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,6
170,100,outoftime,black,Rapid,1840,1837,B22,Sicilian Defense: Alapin Variation,3
171,80,resign,black,Blitz,1848,1806,B40,Sicilian Defense: French Variation,4
172,44,resign,black,Rapid,1860,1820,C00,French Defense: Knight Variation,3
173,40,outoftime,black,Rapid,1854,1849,A45,Paleface Attack,3
174,105,outoftime,white,Rapid,1895,1859,B50,Sicilian Defense,4
175,50,resign,black,Rapid,1866,1965,B31,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,6
176,144,outoftime,draw,Rapid,1866,1843,B50,Sicilian Defense,4
177,81,resign,black,Rapid,1835,1866,B18,Caro-Kann Defense: Classical Variation |  Flohr Variation,11
178,69,resign,black,Rapid,1877,1860,C61,Ruy Lopez: Bird Variation,6
179,77,mate,white,Blitz,1849,1874,B90,Sicilian Defense: Najdorf Variation |  Adams Attack,11
180,158,mate,black,Blitz,1835,1865,E10,Blumenfeld Countergambit #2,6
181,107,draw,draw,Rapid,1866,1835,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
182,117,mate,white,Rapid,1856,1829,C78,Ruy Lopez: Morphy Defense #2,12
183,44,resign,white,Rapid,1845,1846,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
184,40,resign,black,Rapid,1834,1835,B30,Sicilian Defense: Old Sicilian,4
185,59,resign,white,Rapid,1846,1845,B10,Caro-Kann Defense,2
186,110,resign,black,Rapid,1845,1917,D06,Queen's Gambit Refused: Marshall Defense,4
187,30,resign,black,Rapid,1858,1790,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
188,54,resign,black,Rapid,1871,1847,B30,Sicilian Defense: Old Sicilian,4
189,69,resign,black,Rapid,1846,1869,C41,Philidor Defense,5
190,178,mate,black,Rapid,1843,1836,B22,Sicilian Defense: Alapin Variation,3
191,136,resign,black,Rapid,1800,1826,B20,Sicilian Defense,2
192,124,mate,black,Blitz,1283,1267,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
193,96,resign,black,Rapid,1290,1270,A00,Hungarian Opening,1
194,53,outoftime,white,Rapid,1331,1281,D00,Queen's Pawn Game #3,4
195,39,mate,white,Rapid,1304,1292,A00,Van't Kruijs Opening,1
196,10,mate,black,Rapid,1305,1293,C00,French Defense: Normal Variation,3
197,51,mate,white,Rapid,1308,1317,C22,Center Game: Berger Variation,8
198,18,resign,black,Rapid,1296,1305,C54,Italian Game: Giuoco Piano |  Greco's Attack,13
199,106,mate,black,Classical,968,1305,C50,Four Knights Game: Italian Variation,8
200,38,mate,black,Rapid,1293,1466,C41,Philidor Defense #3,5
201,59,mate,white,Blitz,1500,1299,C68,Ruy Lopez: Exchange Variation,7
202,111,mate,white,Blitz,1288,1232,B12,Caro-Kann Defense,3
203,28,resign,black,Blitz,1289,2108,C77,Ruy Lopez: Morphy Defense |  Tarrasch Variation,9
204,101,outoftime,white,Blitz,1431,1289,C22,Center Game: Normal Variation,6
205,15,mate,white,Blitz,1806,1289,C45,Scotch Game,7
206,42,resign,white,Blitz,1289,1311,C41,Philidor Defense #3,5
207,118,resign,black,Blitz,1431,1289,A40,Englund Gambit Declined |  Reversed French,3
208,34,resign,black,Blitz,1289,1484,C50,Giuoco Piano,6
209,60,resign,black,Blitz,1289,1810,A42,Sicilian Defense: Hyperaccelerated Fianchetto,5
210,66,resign,black,Blitz,1806,1289,C44,Scotch Game,5
211,21,outoftime,white,Blitz,1289,1500,C41,Philidor Defense #3,5
212,73,mate,white,Rapid,1409,1297,C70,Ruy Lopez: Morphy Defense |  Caro Variation,8
213,159,mate,white,Rapid,1280,1485,C55,Italian Game: Anti-Fried Liver Defense,6
214,74,resign,white,Rapid,1280,1211,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
215,28,mate,black,Rapid,1211,1280,A00,Crab Opening,3
216,112,mate,black,Rapid,1281,1765,C41,Philidor Defense #4,6
217,104,resign,black,Rapid,1288,1454,C42,Petrov's Defense,4
218,40,mate,black,Rapid,1560,1270,D07,Queen's Gambit Refused: Chigorin Defense #2,5
219,44,mate,black,Rapid,1274,1534,B27,Sicilian Defense: Jalalabad Variation,4
220,150,draw,draw,Rapid,1259,1663,C55,Italian Game: Anti-Fried Liver Defense,6
221,60,mate,black,Rapid,1614,1238,D02,Queen's Pawn Game: London System,5
222,37,mate,white,Rapid,1221,1417,C02,French Defense: Advance Variation |  Milner-Barry Gambit,11
223,88,outoftime,black,Rapid,1222,1732,B32,Sicilian Defense: Open #3,7
224,113,mate,white,Rapid,1232,1234,C68,Ruy Lopez: Exchange Variation,7
225,55,mate,white,Rapid,1240,1219,C42,Russian Game: Damiano Variation |  Kholmov Gambit,8
226,135,mate,white,Rapid,1590,1600,A22,English Opening: Carls-Bremen System,5
227,137,draw,draw,Rapid,1568,1617,C50,Italian Game,5
228,97,outoftime,white,Rapid,1500,1358,C46,Four Knights Game,6
229,33,resign,black,Rapid,1384,1325,B07,Pirc Defense #4,2
230,29,resign,black,Classical,1384,1265,A06,Zukertort Opening: Old Indian Attack,3
231,55,resign,black,Bullet,1384,1950,A04,Zukertort Opening: Sicilian Invitation,2
232,91,resign,white,Rapid,1377,1249,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
233,53,resign,white,Rapid,1375,1389,C20,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4
234,49,mate,white,Rapid,1378,1361,C41,Philidor Defense,5
235,48,mate,black,Rapid,1261,1371,B07,King's Pawn Game: Maroczy Defense,4
236,20,resign,black,Rapid,1380,1429,B30,Sicilian Defense: Old Sicilian,4
237,87,mate,white,Rapid,1369,1368,C42,Russian Game: Damiano Variation,6
238,11,resign,white,Rapid,1290,1371,C77,Ruy Lopez: Morphy Defense |  Mackenzie Variation,9
239,110,draw,draw,Rapid,1372,1326,B00,St. George Defense,2
240,24,resign,white,Blitz,1361,1383,A00,Van't Kruijs Opening,1
241,23,resign,white,Rapid,1217,1399,A22,English Opening: King's English Variation |  Two Knights Variation,4
242,81,mate,white,Rapid,1387,1447,C60,Ruy Lopez,5
243,34,resign,black,Rapid,1474,1387,B01,Scandinavian Defense,2
244,103,mate,white,Rapid,1377,1351,C41,Philidor Defense #2,4
245,29,resign,black,Classical,1389,1339,C40,King's Pawn Game: McConnell Defense,4
246,22,resign,black,Classical,1389,1400,C41,Philidor Defense #2,4
247,38,resign,white,Rapid,1849,1389,C44,Scotch Game,5
248,46,mate,black,Blitz,1395,1378,C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9
249,23,outoftime,white,Blitz,1370,1257,C61,Ruy Lopez: Bird Variation,6
250,31,resign,white,Rapid,1360,1332,B00,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5
251,51,resign,white,Rapid,1311,1360,C21,King's Pawn Game: Beyer Gambit,4
252,87,mate,white,Rapid,1714,1360,C64,Ruy Lopez: Classical Variation,6
253,31,mate,white,Classical,1354,1217,C50,Italian Game,5
254,38,resign,black,Rapid,1245,1346,D20,Queen's Gambit Accepted: Old Variation,5
255,43,resign,white,Rapid,1346,1099,C55,Italian Game: Anti-Fried Liver Defense,6
256,105,resign,white,Rapid,1336,1287,A07,King's Indian Attack: Keres Variation #2,4
257,87,outoftime,white,Rapid,1580,1555,A10,English Opening: Anglo-Scandinavian Defense,2
258,36,mate,black,Rapid,1555,1580,B40,Sicilian Defense: Marshall Counterattack,6
259,38,resign,black,Blitz,1649,1547,C02,French Defense: Advance Variation #4,6
260,110,resign,black,Blitz,1426,1527,C00,French Defense: Knight Variation,3
261,48,resign,black,Rapid,1557,1547,C70,Ruy Lopez: Morphy Defense |  Caro Variation,8
262,95,mate,white,Blitz,1557,1607,E20,Nimzo-Indian Defense #2,5
263,70,mate,black,Blitz,1607,1557,A02,Bird Opening,1
264,42,resign,white,Rapid,1557,1632,B32,Sicilian Defense: Open #3,7
265,177,outoftime,white,Rapid,1535,1609,C58,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,11
266,114,mate,black,Rapid,1713,1558,A00,Hungarian Opening: Indian Defense,2
267,57,resign,white,Rapid,1497,1730,B00,Owen Defense,2
268,57,resign,white,Blitz,1437,1552,C50,Italian Game,5
269,82,draw,draw,Rapid,1516,1552,A03,Bird Opening,2
270,29,mate,white,Blitz,1513,1456,B54,Sicilian Defense,5
271,70,resign,black,Rapid,1355,1478,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
272,97,mate,white,Rapid,1638,1614,C55,Italian Game: Anti-Fried Liver Defense,6
273,99,resign,white,Blitz,1613,1934,B12,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit,11
274,74,resign,black,Rapid,1865,1613,D03,Queen's Pawn Game: Torre Attack,5
275,48,mate,black,Blitz,1776,1587,D00,Queen's Pawn Game,2
276,77,mate,white,Rapid,1568,1593,C10,French Defense: Marshall Variation,6
277,80,resign,black,Rapid,1605,1546,B01,Scandinavian Defense: Icelandic-Palme Gambit,6
278,35,resign,white,Blitz,1518,1709,B00,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5
279,33,resign,white,Rapid,1728,1527,D31,Semi-Slav Defense: Noteboom Variation,8
280,87,mate,white,Rapid,1515,1379,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
281,40,resign,black,Rapid,1538,1501,B06,Robatsch (Modern) Defense,4
282,54,resign,black,Rapid,1511,1516,D30,Queen's Gambit Declined,4
283,67,resign,black,Rapid,1464,1495,C69,Ruy Lopez: Exchange Variation |  Normal Variation,9
284,21,mate,white,Rapid,1470,1475,C40,King's Pawn Game: Damiano Defense,4
285,14,mate,black,Rapid,1490,1440,C50,Italian Game: Schilling-Kostic Gambit,6
286,71,resign,white,Rapid,1611,1974,D41,Queen's Gambit Declined: Semi-Tarrasch |  San Sebastian Variation,18
287,72,outoftime,black,Rapid,1611,1945,E20,Nimzo-Indian Defense: Ragozin Variation,8
288,62,resign,black,Rapid,1584,1611,A31,English Opening: Symmetrical Variation |  Anti-Benoni Variation,5
289,48,resign,black,Rapid,1942,1611,A00,Van't Kruijs Opening,1
290,6,outoftime,black,Rapid,1217,1611,C46,Four Knights Game,6
291,69,draw,draw,Rapid,1611,2059,D46,Semi-Slav Defense: Chigorin Defense,12
292,72,resign,white,Rapid,1611,1478,B27,Sicilian Defense: Quinteros Variation,4
293,40,mate,black,Rapid,1486,1552,C44,King's Pawn Game: Dresden Opening,5
294,29,mate,white,Rapid,1453,1496,B06,Modern Defense,2
295,44,resign,white,Rapid,1340,1326,A40,English Defense #2,2
296,59,mate,white,Rapid,1532,1500,C00,French Defense: Steinitz Attack,3
297,115,resign,white,Rapid,1560,1557,C34,King's Gambit Accepted |  Fischer Defense,6
298,70,resign,black,Rapid,1571,1577,A03,Bird Opening: Dutch Variation,2
299,36,resign,black,Rapid,1580,1617,A03,Bird Opening,2
300,83,resign,white,Rapid,1531,1593,C46,Four Knights Game: Gunsberg Variation,7
301,99,draw,draw,Rapid,1449,1597,C48,Four Knights Game: Ranken Variation,9
302,43,resign,white,Rapid,1743,1604,C34,King's Gambit Accepted |  Schallopp Defense,6
303,89,resign,white,Rapid,1604,1614,C48,Four Knights Game: Spanish Variation |  Classical Variation,8
304,96,resign,black,Rapid,1550,1605,D00,Queen's Pawn Game: Mason Attack,3
305,116,mate,black,Rapid,1630,1605,C42,Petrov's Defense #5,8
306,78,mate,black,Rapid,1475,1605,A00,Hungarian Opening,1
307,77,mate,white,Rapid,1605,1475,A02,Bird Opening,1
308,70,mate,black,Rapid,1475,1605,C20,King's Pawn Opening: 2.b3,3
309,27,resign,white,Rapid,1570,1605,C42,Russian Game: Cochrane Gambit,7
310,102,resign,black,Rapid,1605,1500,A02,Bird Opening,1
311,21,resign,white,Rapid,1500,1605,C47,Four Knights Game: Italian Variation |  Noa Gambit,9
312,33,resign,white,Rapid,1605,1500,A02,Bird Opening,1
313,74,resign,black,Rapid,1513,1605,C42,Russian Game: Urusov Gambit,5
314,65,resign,white,Classical,1790,1874,A00,Polish Opening,1
315,81,resign,white,Classical,1864,1805,B24,Sicilian Defense: Closed Variation |  Fianchetto Variation,5
316,45,resign,black,Classical,1496,1861,A45,Indian Game: Tartakower Attack,3
317,52,resign,white,Classical,1851,1853,C67,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,8
318,51,resign,white,Rapid,1861,1863,B11,Caro-Kann Defense,4
319,48,draw,draw,Rapid,1618,1609,C00,French Defense: Knight Variation,3
320,20,resign,black,Rapid,1620,1607,A00,Van't Kruijs Opening,1
321,50,mate,black,Rapid,1621,1496,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
322,98,resign,black,Rapid,1633,1581,C41,Philidor Defense #3,5
323,106,mate,black,Rapid,1623,1623,C60,Ruy Lopez: Cozio Defense,6
324,19,resign,white,Rapid,1612,1614,C50,Italian Game,5
325,22,resign,white,Rapid,1605,1624,C50,Italian Game: Giuoco Pianissimo |  Normal,8
326,114,draw,draw,Rapid,1693,1621,E61,Indian Game: West Indian Defense,4
327,69,resign,black,Rapid,1631,1684,B50,Sicilian Defense,4
328,34,mate,black,Rapid,1636,1619,C53,Italian Game: Classical Variation |  Closed Variation,8
329,40,mate,black,Rapid,1613,1617,C57,Italian Game: Two Knights Defense |  Traxler Counterattack,8
330,108,resign,black,Rapid,1627,1495,C50,Italian Game: Hungarian Defense,6
331,27,resign,white,Rapid,1480,1643,C23,Bishop's Opening,3
